line,part,cost,coreprice,qtyonhand,packs,sku
,12227N,0,,1,,FQTW_12227N
,19185N,0,,1,,FQTW_19185N
,19190,0,,1,,FQTW_19190
,10312120,24.93,,1,,BKNL_10312120
,PA6116,8.67,,685,,DGTF_PA6116
,10312930,36.82,,1,,BKNL_10312930
,BP1293C,23.35,,58,,GVMP_BP1293C
,10212930,26.68,,1,,BKNL_10212930
,14259,4.33,,9,,BBVZ_14259
,12144188,45.68,,1,,BKNL_12144188
,GK90345,14.12,,241,,FSWF_GK90345
,14344035,2.81,,23,,BKNJ_14344035
,12144146,46.25,,1,,BKNL_12144146
,41244004E,24.72,,1,,BKNL_41244004E
,32044188,29.42,,348,,BKNJ_32044188
,14254,4.3,,13,,BBVZ_14254
,PA5786,8.93,,446,,DGTF_PA5786
,60244075,16.95,,16,,BKNJ_60244075
,15204,2.4,,12,,BBVZ_15204
,13626Q,7.29,,10,,BBVZ_13626Q
,60244074,7.06,,17,,BKNJ_60244074
,X50TE4215,9.94,,9,,HDHN_X50TE4215
,10212120,18.85,,1,,BKNL_10212120
,7PK1930,15.2,,19,,BRBV_7PK1930
,368208,33.24,,15,,BFTN_368208
,GS86848,12.6,,197,,FSWF_GS86848
,16078,10.48,,91,,BBVZ_16078
,X50SL3982,6.85,,3,,HDHN_X50SL3982
,GS86182,45.1,,3,,FSWF_GS86182
,90633,40.45,,0,,CHMT_90633
,X30CJ2175,51.91,,15,,HDHN_X30CJ2175
,X30CJ2174,51.91,,13,,HDHN_X30CJ2174
,4D1251,22.81,,3,,BFTN_4D1251
,BP1212C,14.6,,44,,GVMP_BP1212C
,3996,92.84,,1,,FKFN_3996
,3995,58.47,,4,,FKFN_3995
,13269,73.24,,1,,FKFN_13269
,13270,67.86,,7,,FKFN_13270
,SPF3365-90K,39.13,,0,,SPF3365-90K
,3401539,14.85,,3,,FTTD_3401539
,X31TE2447,10.53,,12,,HDHN_X31TE2447
,FI1186C,16.34,,1,,CNTM_FI1186C
,SW11245C,34.59,,21,,CNTM_SW11245C
,71119,15.86,,0,,CHMT_71119
,3401655,15,,4,,FTTD_3401655
,SW11247C,43.47,,2,,CNTM_SW11247C
,SW11235C,22.95,,7,,CNTM_SW11235C
,90253,47.3,,0,,CHMT_90253
,3401352,15.16,,3,,FTTD_3401352
,3400,18.75,,8,,FBHK_3400
,4E1024,21.17,,8,,BFTN_4E1024
,SW11252C,26.08,,7,,CNTM_SW11252C
